carat	color	clarity	certification	price
0.30	H	VVS2	IGI	 714
0.25	F	IF	IGI	 871
0.21	E	IF	IGI	 674
0.35	G	VS1	GIA	 849
0.60	G	VS2	HRD	2006
0.51	F	VVS1	GIA	2259
1.00	H	VVS2	IGI	5479
0.18	G	IF	IGI	 471
0.35	H	VS2	GIA	 736
0.70	F	VS2	GIA	3004
0.82	F	VS2	HRD	3854
0.50	G	IF	IGI	2142
0.71	F	VS2	GIA	3046
0.64	H	VVS2	HRD	2220
0.70	E	VVS2	HRD	3686
0.86	H	VVS2	GIA	4036
0.78	G	VVS2	IGI	3482
0.30	G	VVS1	IGI	 856
0.31	E	VVS2	IGI	 955
0.52	E	VS1	GIA	2132
1.05	I	VVS2	GIA	5150
0.73	H	VS1	GIA	2950
1.01	F	VS1	GIA	6025
0.46	E	VVS2	GIA	1725
0.22	E	IF	IGI	 703
0.52	D	VS2	GIA	2047
0.56	F	VS1	GIA	2151
0.70	G	VS1	GIA	3004
0.31	I	IF	IGI	 784
1.01	I	VVS1	GIA	5204
0.18	H	IF	IGI	 425
0.21	F	IF	IGI	 620
0.18	G	VVS2	IGI	 413
1.00	G	VVS2	GIA	5804
1.01	H	VS2	GIA	5204
0.71	D	VS1	GIA	3737
0.29	I	IF	IGI	 726
0.20	G	VS1	IGI	 413
0.50	E	VS1	GIA	2053
0.56	F	VS2	HRD	1878
0.52	H	VVS1	HRD	1836
0.19	H	IF	IGI	 445
0.80	F	VS1	HRD	4050
0.45	I	VS1	GIA	 922
0.62	E	VVS1	GIA	3428
0.57	F	VS2	HRD	1910
0.33	H	IF	IGI	 882
0.84	H	VS2	GIA	3346
0.19	F	VVS1	IGI	 506
0.34	E	VS1	GIA	 993
0.71	E	VS1	GIA	3449
0.55	G	VVS2	HRD	2070
0.53	F	VVS2	GIA	2171
0.32	F	VS1	GIA	 861
1.04	F	VS1	GIA	6200
0.53	F	VVS1	HRD	2343
0.30	G	VS1	GIA	 739
0.74	H	VVS1	HRD	3410
0.71	D	VS1	IGI	3613
0.43	H	VVS2	GIA	1025
0.51	F	VVS1	HRD	2259
0.57	G	VVS2	GIA	2141
0.26	F	VVS1	IGI	 801
1.00	D	VVS2	HRD	8079
1.00	G	VS2	HRD	5398
